run_dir,output_indices,config_file,commit,dirty,date,slurm_job,purpose,finding_ids,small_tables_in_repo,netcdf_on_scratch,in_archive,status
p1_sphere_tags,0000,configs/p1_sphere_tags.yml,c2842ba6720ab02d2c0bd2efbe00ed9cf997b02f,unknown,2026-09-14,13440989,"P1, c7_sphere_mp under its own name, the tagged half of the cost pair.",T9,yes,"yes (12 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (12 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
p4_build_stages,0000,"n/a (analysis-script output, no run config)",,,,,analysis/p4_build_stages.jl timing each build stage of the EDMF column at 0/2/8 tags.,E44c,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
p4_edmf_tags,0000,configs/p4_edmf_tags.yml,edd44e1d01afdc184894ea7bbcd014421dfae42a,unknown,2026-09-11,13415604,"P4, D4's column with its 8 tags only, for build time.",E44b,yes,"dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","dir only, no nc/hdf5 [checked 2026-09-23, links not followed]",live
p4_edmf_two_tags,0000,configs/p4_edmf_two_tags.yml,edd44e1d01afdc184894ea7bbcd014421dfae42a,unknown,2026-09-11,13415603,"P4, D4's column with its two region tags only, for build time.",E44b,yes,"dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","dir only, no nc/hdf5 [checked 2026-09-23, links not followed]",live
p4_fix_validation,0000,"n/a (analysis-script output, no run config)",,,,,"Validation of #76's split-Jacobian-solver fix on the EDMF column with 8 tags, and with 8 tags + 5 records.",E44e,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
p4_inference_profile,0000,"n/a (analysis-script output, no run config)",,,,,Julia inference-timer profiles (0/2/8 tags) naming the EDMF build's compile-time cause.,"E44d, E44e",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
parity_89_d331fe3,0000,"n/a (analysis-script output, no run config)",,,,,"#89's parity check: the fork vs upstream d331fe30 on one node, three configurations.","E51, E52",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
parity_89_r2,0000,"n/a (analysis-script output, no run config)",,,,,"#89's review-round-2 parity paths: restart, vertical-water-borrowing limiter, prescribed-flow column.",E57,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
parity_c1b_main,0000,"n/a (analysis-script output, no run config)",,,,,"C1b parity check: main vs C1b (fe69cd06) on the login node, two columns.",E51,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
repair_trades,0000,"n/a (analysis-script output, no run config)","111c0833abdf745802fa2163cd7fb8b370c1fd67 (+uncommitted script, committed with this dir)",,,,analysis/repair_trades.jl output: where the repair's large ledgers sit relative to the region-tag edge.,E46,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
sedimentation_smoke,0000,"n/a (analysis-script output, no run config)",,,,,"Login-node smoke test: sedimentation moving the source tags on/off, DYCOMS column, 1M, an hour.",E32,yes,"dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
subgrid_build_checks,0000,"n/a (analysis-script output, no run config)",,,,,Build checks for energy source tags under EDMF/ice/2M/2MP3 on the terrabyte login node.,"E40, E41",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
transport_ledger_column,0000,"n/a (analysis-script output, no run config)",,,,,"analysis/transport_ledger.jl stepping c6_column_no_repair by hand, splitting the residual's growth by operator.",E25,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
transport_ledger_sphere,0000,"n/a (analysis-script output, no run config)",,,,,"analysis/transport_ledger.jl on c6_sphere_no_repair, splitting the sphere residual's growth by operator.",E31,yes,"dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
twin_c1,0000,configs/twin_c1.yml,72a1bc6aa1fe161387062d3193ae2085fba0330a,unknown,2026-09-10,13383683,"C1 twin test: the model with and without the reference shift, one step and a day.",E16,yes,"dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","dir only, no nc/hdf5 [checked 2026-09-23, links not followed]",live (diagnostic twin; exits 1 by design when twins differ)
twin_c1_limiter_off,0000,configs/twin_c1_limiter_off.yml,9b00e7b10b496a2b80af076ccb9ad4266c132f13,unknown,2026-09-10,13384884,Twin with the van Leer energy limiter switched off in both halves.,E16,yes,"dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","dir only, no nc/hdf5 [checked 2026-09-23, links not followed]",live (diagnostic twin; exits 1 by design when twins differ)
twin_c1_limiter_off_no_sfc,0000,configs/twin_c1_limiter_off_no_sfc.yml,9e796facacba3b3b50b799cd91bf0a9273106894,unknown,2026-09-10,13385303,Twin with the limiter off and the surface-flux tendency off in both halves.,E16,yes,"dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","dir only, no nc/hdf5 [checked 2026-09-23, links not followed]",live (diagnostic twin; exits 1 by design when twins differ)
twin_c1_newton,0000,configs/twin_c1_newton.yml,4a40838f4eeec9944dc41cbf56ef710cb7ca1b97,unknown,2026-09-10,13384080,Twin with the Newton solve converged in both halves.,E16,yes,"dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","dir only, no nc/hdf5 [checked 2026-09-23, links not followed]",live (diagnostic twin; exits 1 by design when twins differ)
v3_d4_passive_tracer,0000,configs/v3_d4_passive_tracer.yml,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19,13505756,"V3: a passive tracer with an updraft copy beside the tags on D4, for the updraft gap.",E68,yes,"yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v3_sphere_float32,0000,configs/v3_sphere_float32.yml,297eda4cfe50eff449f6776f7be4f33023dae0f1,unknown,2026-09-14,13440822,"V3 (operational check), c7_sphere_mp in Float32.",E45,yes,"yes (12 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (12 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v3_upd_copies,0000,configs/v3_upd_copies.yml,3ec098f1b82802636f5a41f896bf1e590bb86350,unknown,2026-09-19,13523326,"D4 under the updraft-gap fix, audit mode (updraft copies of the tags).",E73,yes,"yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v3_upd_copies_dt30,0001 (per runs_inventory.csv; ladder rung on scratch),configs/v3_upd_copies_dt30.yml,,,2026-09-19/23,,"V-W4-style ladder rung: copies mode at dt 30s (scratch only, not yet copied back).","(R2 ladder, job session; not yet a FINDINGS entry)","no (scratch-only, in runs_inventory.csv)","yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v3_upd_copies_dt60,0001 (per runs_inventory.csv; ladder rung on scratch),configs/v3_upd_copies_dt60.yml,,,2026-09-19/23,,Ladder rung: copies mode at dt 60s (scratch only).,"(R2 ladder, job session)","no (scratch-only, in runs_inventory.csv)","yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v3_upd_copies_newton2,0001 (per runs_inventory.csv; ladder rung on scratch),configs/v3_upd_copies_newton2.yml,,,2026-09-19/23,,Ladder rung: copies mode with two Newton iterations (scratch only).,"(R2 ladder, job session)","no (scratch-only, in runs_inventory.csv)","yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v3_upd_copies_upwind,0001 (per runs_inventory.csv; ladder rung on scratch),configs/v3_upd_copies_upwind.yml,,,2026-09-19/23,,Ladder rung: copies mode with first-order upwinding (scratch only).,"(R2 ladder, job session)","no (scratch-only, in runs_inventory.csv)","yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v3_upd_default,"0000-0004 (reran at e010f780, 38278c2d, 846ef55d, e71430fb, plus a live one)",configs/v3_upd_default.yml,e010f7805ea25d9d807e66ca10d6428d4979f33d,unknown,2026-09-19,13528772,"D4 under the updraft-gap fix, default mode (zero-sum exchange); reran multiple times at head as the plume/blend-factor code changed.",E73,yes,"yes (180 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (180 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v3_upd_default_dt30,0001 (per runs_inventory.csv; ladder rung on scratch),configs/v3_upd_default_dt30.yml,,,2026-09-19/23,,Ladder rung: default mode at dt 30s (scratch only).,"(R2 ladder, job session)","no (scratch-only, in runs_inventory.csv)","yes (90 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (90 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v3_upd_default_dt60,0001 (per runs_inventory.csv; ladder rung on scratch),configs/v3_upd_default_dt60.yml,,,2026-09-19/23,,Ladder rung: default mode at dt 60s (scratch only).,"(R2 ladder, job session)","no (scratch-only, in runs_inventory.csv)","yes (90 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (90 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v3_upd_default_newton2,0001 (per runs_inventory.csv; ladder rung on scratch),configs/v3_upd_default_newton2.yml,,,2026-09-19/23,,Ladder rung: default mode with two Newton iterations (scratch only).,"(R2 ladder, job session)","no (scratch-only, in runs_inventory.csv)","yes (90 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (90 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v3_upd_default_prefix_e010f780_superseded,0000,configs/v3_upd_default_prefix_e010f780_superseded.yml,3ec098f1b82802636f5a41f896bf1e590bb86350,unknown,2026-09-19,13523325,"First default-mode run at e010f780, whose shares were normalised over all tags rather than the partition; superseded.","E73 (superseded run, noted in its evidence)",yes,"yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (30 nc, 0 hdf5) [checked 2026-09-23, links not followed]",superseded (by v3_upd_default)
v3_upd_default_upwind,0001 (per runs_inventory.csv; ladder rung on scratch),configs/v3_upd_default_upwind.yml,,,2026-09-19/23,,Ladder rung: default mode with first-order upwinding (scratch only).,"(R2 ladder, job session)","no (scratch-only, in runs_inventory.csv)","yes (90 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (90 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
v5_c5_continuous,0000,configs/v5_c5_continuous.yml,e4e9e5b33e7e335f58c3f2b66d78bcc572d5beb3,unknown,2026-09-18,13503985,"V5, C5's column for a day with a checkpoint every 12 hours, reproducible_restart:true.",E54,yes,"yes (10 nc, 2 hdf5) [checked 2026-09-23, links not followed]","yes (10 nc, 2 hdf5) [checked 2026-09-23, links not followed]",live
v5_c5_continuous_notags,0000,configs/v5_c5_continuous_notags.yml,e4e9e5b33e7e335f58c3f2b66d78bcc572d5beb3,unknown,2026-09-18,13504312,"V5's follow-up: v5_c5_continuous without tags, records or closure check.",E58,yes,"yes (0 nc, 2 hdf5) [checked 2026-09-23, links not followed]","yes (0 nc, 2 hdf5) [checked 2026-09-23, links not followed]",live
v5_c5_restarted,0000,configs/v5_c5_restarted.yml,e4e9e5b33e7e335f58c3f2b66d78bcc572d5beb3,unknown,2026-09-18,13503986,"V5, the same run restarted from its twin's checkpoint at 12 hours, through C2's guard.",E54,yes,"yes (10 nc, 1 hdf5) [checked 2026-09-23, links not followed]","yes (10 nc, 1 hdf5) [checked 2026-09-23, links not followed]",live
v5_c5_restarted_notags,0000,configs/v5_c5_restarted_notags.yml,e4e9e5b33e7e335f58c3f2b66d78bcc572d5beb3,unknown,2026-09-18,13504313,"V5's follow-up: the same run without tags, restarted from its twin's checkpoint at 12 hours.",E58,yes,"yes (0 nc, 1 hdf5) [checked 2026-09-23, links not followed]","yes (0 nc, 1 hdf5) [checked 2026-09-23, links not followed]",live
